question,answer
هل يجوز الحكم بالشبهة؟,لا يجوز توقيع عقوبة جزائية على أي شخص إلا بعد ثبوت إدانته بأمر محظور شرعًا أو نظامًا بعد محاكمة تجرى وفقًا للمقتضى الشرعي بناءً على المادة (٣) من نظام الإجراءات الجزائية.
هل يجوز تنفيذ الأحكام والقرارات والأوامر جبرًا؟,لا يجوز تنفيذ الأحكام والقرارات والأوامر جبرًا، مادام الاعتراض عليها جائزًا، إلا إذا كانت مشمولة بالنفاذ المعجل، أو كان النفاذ المعجل منصوصًا عليه في الأنظمة ذات العلاقة.
هل يجوز فتح باب المرافعة بعد تقرير قفله؟,نعم، للدائرة فتح باب المرافعة بعد قفله وقبل النطق بالحكم للأسباب التي تقررها الدائرة.
هل يجوز للمعترض أن يتقدم بأكثر من مذكرة اعتراض خلال مدة الاعتراض؟,نعم، له ذلك.
هل يحدد قاضي التنفيذ طريقة تنفيذ الحكم الصادر بزيارة الصغير مالم ينص الحكم عليها؟,يحدد قاضي التنفيذ طريقة تنفيذ الحكم الصادر بزيارة الصغير مالم ينص الحكم عليها، ويجري التنفيذ بتسليم الصغير في مكان مهيأ ومناسب لهذا النوع من التنفيذ وتحدد وزارة العدل تلك الأماكن في اللائحة على ألا يكون في مراكز الشرطة ونحوها.
هل يحق للمتهم طلب تحويل القضية إلى المحكمة التي في منطقة إقامته في حال تم استدعاءه من النيابة العامة في غير مقر إقامته، وبعد أخذ أقواله تم تحويل القضية إلى محكمة في غير مقر إقامته؟,يتحدد الاختصاص المكاني للمحاكم في مكان وقوع الجريمة، أو المكان الذي يقيم فيه المتهم، فإن لم يكن له مكان إقامة معروف يتحدد الاختصاص في المكان الذي يقبض عليه فيه، ولرئيس النيابة العامة أو من ينيبه الاختيار في إقامة الدعوى الجزائية العامة على المتهم المفرج عنه في مكان إقامته أو مكان وقوع الجريمة، وذلك بحسب ما تقتضيه المصلحة العامة وفقًا للمادة (١٣٠) من نظام الإجراءات الجزائية ولائحته التنفيذية.
هل يسمح بزواج السعودي من مقيمة؟,يمكن زواج السعودي بمقيمة وفقًا للإجراءات التالية:  في حال كانت الزوجة أجنبية فيلزم وجود موافقة من الجهات المختصة ومن ثم التقديم لخدمة (توثيق زواج أحد الزوجين غير سعودي أو توثيق زواج سابق). في حال كانت الزوجة أجنبية من أم مواطنة فلا يتطلب خطاب موافقة، ويلزم إرفاق شهادة ميلاد الزوجة وهوية الأم أو سجل الأسرة الخاص بالأم. في حال كانت الزوجة خليجية فلا يلزم موافقة، ما عدا مملكة البحرين فيلزم وجود موافقة من الجهات المختصة في البحرين بناء على قوانين الدولة.
هل يلزم تقديم طلب صلح من خلال منصة تراضي قبل رفع صحيفة دعوى في المحكمة التجارية؟,يجب اللجوء إلى المصالحة والوساطة قبل قيد أي من الدعاوى الآتية :  أ - الدعاوى المنصوص عليها في الفقرة (٣) من المادة السادسة عشرة من النظام ب - الدعاوى المنصوص عليها في الفقرة (١) من المادة الحادية عشرة من اللائحة ج - الدعاوى التي يكون أطرافها زوجين، أو تربطهم صلة قرابة إلى الدرجة الرابعة د - الدعاوى المتعلقة بالعقود التي تتضمن الاتفاق - كتابةً - على اللجوء إلى المصالحة والوساطة والتسوية الودية قبل اللجوء إلى القضاء
هل يمكن التراجع عن الوقف بعد قبول طلب توثيق الوقف وإصدار الوثيقة؟,وفقا للمادة 41 من نظام التوثيق فإن الوثائق الصادرة وفق أحكام النظام لها قوة الإثبات، وتعد سنداً تنفيذيًا فيما تضمنته من التزام، ويجب العمل بمضمونها أمام المحاكم بلا بينة إضافية ولا يجوز الطعن فيها. ولا تلغى الوثائق الصادرة وفق النظام إلا بحكم قضائي تأسيساً على مخالفتها لمقتضى الأصول الشرعية أو النظامية، أو تزويرها، وذلك بعد مرافعة مستكملة إجراءاتها الشرعية والنظامية.
هل يمكن تنفيذ حكم الزيارة في غير بلد المزور؟,الأصل في تنفيذ حكم الزيارة والحضانة أن يكون الاختصاص المكاني لتنفيذ قضايا الحضانة والزيارة في بلد الحضانة أو الزيارة المنصوص عليه في السند التنفيذي، وفقًا للفقرة (٤) من المادة (٤) من اللائحة التنفيذية لنظام التنفيذ.
هل يمكن طلب إعادة النظر في قضية مشطوبة؟,إذا لم يحضر المدعي أي جلسة من جلسات الدعوى ولم يتقدم بعذر تقبله المحكمة، فلها أن تقرر شطبها. فإذا انقضت (ستون) يومًا ولم يطلب المدعي السير فيها بعد شطبها أو لم يحضر بعد السير فيها عدت كأن لم تكن. في حال كانت الدعوى تجارية: إذا غاب المدعي عن أي من جلسات الدعوى ولم يتقدم بعذر تقبله المحكمة، فلها أن تقرر شطبها وللمدعي طلب السير فيها خلال (ثلاثين) يومًا من تاريخ الشطب، فإذا انقضت تلك المدة دون أن يطلب المدعي السير فيها أو لم يحضر بعد السير فيها حكمت المحكمة - من تلقاء نفسها - باعتبار الدعوى كأن لم تكن. وفقًا المادة (٥٥) من نظام المرافعات الشرعية، والمادة (٣١) من نظام المحاكم التجارية.
